# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1175342	1177454	+							CNA04370	2113		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1175342	1177454	+			AAW40974.1	hypothetical protein			CNA04370	1375		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1175594	1177454	+			ALO60332.1	hypothetical protein			CNA04370	1452		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1175809	1177294	+	AAW40974.1			glutamate-ammonia ligase, putative			CNA04370	1077	358	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1175809	1177294	+	ALO60332.1			glutamate-ammonia ligase, putative			CNA04370	1077	358	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1177880	1179868	+							CNA04380	1989		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1177880	1179868	+			AAW40977.1	expressed protein			CNA04380	1680		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1177880	1179868	+			ALO60333.1	expressed protein			CNA04380	1475		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1178463	1179805	+	AAW40977.1			expressed protein			CNA04380	1287	428	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1178463	1179805	+	ALO60333.1			expressed protein			CNA04380	1287	428	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1179859	1181236	-							CNA04390	1378		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1179859	1181236	-			AAW40979.1	expressed protein			CNA04390	1218		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1179911	1181147	-	AAW40979.1			expressed protein			CNA04390	1077	358	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1181695	1183484	-							CNA04400	1790		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1181695	1183484	-			AAW41349.1	conserved hypothetical protein			CNA04400	1736		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1182084	1183442	-	AAW41349.1			conserved hypothetical protein			CNA04400	1305	434	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1183678	1186033	-							CNA04410	2356		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1183678	1186033	-			AAW40981.1	endoplasmic reticulum protein, putative			CNA04410	1834		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1183805	1185944	-	AAW40981.1			endoplasmic reticulum protein, putative			CNA04410	1674	557	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1186783	1189269	+							CNA04420	2487		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1186783	1189269	+			AAW40983.1	oxidoreductase, putative			CNA04420	2081		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1186882	1189135	+	AAW40983.1			oxidoreductase, putative			CNA04420	1848	615	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1190553	1191439	+							CNA04425	887		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1190553	1191439	+			ALO60334.1	hexose transport-related protein, putative			CNA04425	672		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1190638	1191314	+	ALO60334.1			hypothetical protein			CNA04425	462	153	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1192448	1197322	+							CNA04430	4875		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1192448	1197322	+			AAW40985.1	U2 snRNA binding protein, putative			CNA04430	3815		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1192509	1197222	+	AAW40985.1			U2 snRNA binding protein, putative			CNA04430	3654	1217	
gene	tRNA	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1197601	1197701	-							CNA04440	101		
tRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1197601	1197701	-				tRNA-Leu			CNA04440	101		
gene	tRNA	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1199420	1199520	-							CNA04450	101		
tRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1199420	1199520	-				tRNA-Leu			CNA04450	101		
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1199990	1200640	-							CNA04460	651		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1199990	1200640	-			AAW40987.1	expressed protein			CNA04460	454		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1200097	1200533	-	AAW40987.1			expressed protein			CNA04460	240	79	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1200828	1201785	+							CNA04470	958		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1200828	1201785	+			AAW40991.1	conserved hypothetical protein			CNA04470	802		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1200892	1201650	+	AAW40991.1			conserved hypothetical protein			CNA04470	603	200	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1201403	1202798	-							CNA04480	1396		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1201403	1202798	-			AAW40993.2	sterol metabolism-related protein, putative			CNA04480	1193		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1201716	1202779	-	AAW40993.2			sterol metabolism-related protein, putative			CNA04480	861	286	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1202912	1205241	+							CNA04490	2330		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1202912	1205241	+			AAW40995.1	expressed protein			CNA04490	2028		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1203051	1205119	+	AAW40995.1			expressed protein			CNA04490	1767	588	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1205199	1206640	-							CNA04500	1442		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1205199	1206640	-			AAW40997.1	endoplasmic reticulum protein, putative			CNA04500	1290		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1205282	1206492	-	AAW40997.1			endoplasmic reticulum protein, putative			CNA04500	1059	352	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1206699	1207701	+							CNA04510	1003		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1206699	1207701	+			AAW40999.2	protein-vacuolar targeting-related protein, putative			CNA04510	757		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1206769	1207623	+	AAW40999.2			protein-vacuolar targeting-related protein, putative			CNA04510	609	202	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1207624	1208418	-							CNA04520	795		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1207624	1208418	-			AAW41001.1	mitochondrion protein, putative			CNA04520	690		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1207697	1208362	-	AAW41001.1			mitochondrion protein, putative			CNA04520	561	186	
gene	tRNA	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1208523	1208623	+							CNA04530	101		
tRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1208523	1208623	+				tRNA-Leu			CNA04530	101		
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1208847	1210456	+							CNA04540	1610		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1208847	1210456	+			AAW41003.1	expressed protein			CNA04540	1428		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1208955	1210375	+	AAW41003.1			expressed protein			CNA04540	1239	412	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1210420	1211108	-							CNA04550	689		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1210420	1211108	-			AAW41005.2	defender against cell death 1 (dad-1), putative			CNA04550	583		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1210562	1211039	-	AAW41005.2			defender against cell death 1 (dad-1), putative			CNA04550	372	123	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1211372	1212651	+							CNA04560	1280		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1211372	1212651	+			AAW41007.1	hypothetical protein			CNA04560	1109		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1211503	1212576	+	AAW41007.1			hypothetical protein			CNA04560	903	300	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1213058	1216097	-							CNA04570	3040		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1213058	1216097	-			AAW41009.1	conserved hypothetical protein			CNA04570	2538		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1213215	1215353	-	AAW41009.1			conserved hypothetical protein			CNA04570	1824	607	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1216997	1219538	+							CNA04580	2542		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1216997	1219538	+			AAW41012.1	ER to Golgi transport-related protein, putative			CNA04580	2307		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1217823	1219507	+	AAW41012.1			hypothetical protein			CNA04580	1578	525	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1219554	1220863	-							CNA04590	1310		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1219554	1220863	-			AAW41014.1	conserved hypothetical protein			CNA04590	998		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1219650	1220786	-	AAW41014.1			conserved hypothetical protein			CNA04590	876	291	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1221085	1222967	-							CNA04600	1883		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1221085	1222967	-			AAW41016.1	single-stranded DNA binding protein, putative			CNA04600	1621		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1221259	1222846	-	AAW41016.1			single-stranded DNA binding protein, putative			CNA04600	1326	441	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1223187	1225246	+							CNA04610	2060		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1223187	1225246	+			AAW41018.1	isocitrate dehydrogenase, putative			CNA04610	1294		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1223226	1225131	+	AAW41018.1			isocitrate dehydrogenase, putative			CNA04610	1140	379	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1227512	1229968	+							CNA04620	2457		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1227512	1229968	+			AAW41020.1	hypothetical protein			CNA04620	2312		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1228427	1229617	+	AAW41020.1			hypothetical protein			CNA04620	1191	396	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1230510	1232637	+							CNA04630	2128		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1230510	1232637	+			AAW41022.2	RPN10-like protein, putative			CNA04630	1927		
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1230514	1233992	-							CNA04640	3479		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1230514	1233992	-			AAW41024.1	expressed protein			CNA04640	3286		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1231068	1232483	+	AAW41022.2			RPN10-like protein, putative			CNA04630	1356	451	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1232661	1233917	-	AAW41024.1			RPN10-like protein, putative			CNA04640	1116	371	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1234101	1236271	+							CNA04650	2171		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1234101	1236271	+			AAW41026.1	actin			CNA04650	1414		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1234669	1236052	+	AAW41026.1			actin			CNA04650	1134	377	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1236290	1238693	-							CNA04660	2404		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1236290	1238693	-			AAW41028.1	tricarboxylic acid cycle-related protein, putative			CNA04660	2123		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1236321	1238503	-	AAW41028.1			tricarboxylic acid cycle-related protein, putative			CNA04660	1902	633	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1238955	1240564	-							CNA04670	1610		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1238955	1240564	-			AAW41030.1	expressed protein			CNA04670	1297		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1239094	1240453	-	AAW41030.1			expressed protein			CNA04670	1047	348	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1240793	1241633	+							CNA04680	841		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1240793	1241633	+			AAW41035.1	mitochondrion protein, putative			CNA04680	724		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1240896	1241540	+	AAW41035.1			mitochondrion protein, putative			CNA04680	528	175	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1241680	1244940	+							CNA04685	3261		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1241680	1244940	+			ALO60335.1	hypothetical protein			CNA04685	3040		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1241762	1243706	+	ALO60335.1			hypothetical protein			CNA04685	1773	590	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1243859	1245799	-							CNA04690	1941		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1243859	1245799	-			AAW41038.1	expressed protein			CNA04690	1516		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1243984	1245692	-	AAW41038.1			expressed protein			CNA04690	1284	427	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1245947	1247099	+							CNA04695	1153		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1245947	1247099	+			ALO60336.1	hypothetical protein			CNA04695	1022		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1246031	1246404	+	ALO60336.1			hypothetical protein			CNA04695	243	80	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1246583	1248510	-							CNA04700	1928		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1246583	1248510	-			AAW41040.1	acetyl-CoA C-acyltransferase, putative			CNA04700	1420		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1246662	1248417	-	AAW41040.1			acetyl-CoA C-acyltransferase, putative			CNA04700	1248	415	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1248657	1249970	+							CNA04710	1314		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1248657	1249970	+			AAW41042.2	expressed protein			CNA04710	1065		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1248738	1249601	+	AAW41042.2			expressed protein			CNA04710	693	230	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1249592	1252492	-							CNA04715	2901		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1249592	1252492	-			ALO60337.1	hypothetical protein			CNA04715	2551		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1249669	1251456	-	ALO60337.1			hypothetical protein			CNA04715	1557	518	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1252581	1257493	-							CNA04720	4913		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1252581	1257493	-			AAW41351.2	hypothetical protein			CNA04720	4278		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1253296	1256929	-	AAW41351.2			hypothetical protein			CNA04720	3270	1089	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1257731	1259800	-							CNA04730	2070		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1257731	1259800	-			AAW41044.1	expressed protein			CNA04730	1612		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1258017	1259746	-	AAW41044.1			expressed protein			CNA04730	1272	423	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1259986	1260727	+							CNA04740	742		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1259986	1260727	+			AAW41046.1	hypothetical protein			CNA04740	675		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1260051	1260624	+	AAW41046.1			hypothetical protein			CNA04740	507	168	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1260951	1262953	+							CNA04750	2003		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1260951	1262953	+			AAW41048.2	hypothetical protein			CNA04750	1637		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1261012	1262859	+	AAW41048.2			hypothetical protein			CNA04750	1482	493	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1262944	1265816	-							CNA04760	2873		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1262944	1265816	-			AAW41050.1	response to osmotic stress-related protein, putative			CNA04760	2720		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1263116	1265716	-	AAW41050.1			response to osmotic stress-related protein, putative			CNA04760	2448	815	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1267190	1270455	+							CNA04770	3266		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1267190	1270455	+			AAW41052.1	phosphoprotein phosphatase, putative			CNA04770	2913		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1267515	1270099	+	AAW41052.1			phosphoprotein phosphatase, putative			CNA04770	2286	761	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1270242	1272201	-							CNA04780	1960		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1270242	1272201	-			AAW41054.1	carnitine/acyl carnitine carrier, putative			CNA04780	1582		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1270654	1271979	-	AAW41054.1			carnitine/acyl carnitine carrier, putative			CNA04780	948	315	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1272524	1273690	-							CNA04790	1167		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1272524	1273690	-			AAW41056.1	hypothetical protein			CNA04790	1061		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1272537	1272973	-	AAW41056.1			hypothetical protein			CNA04790	384	127	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1273867	1279984	-							CNA04810	6118		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1273867	1279984	-			AAW41103.2	hypothetical protein			CNA04810	5673		
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1273920	1275517	+							CNA04800	1598		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1273920	1275517	+			AAW41102.1	hypothetical protein			CNA04800	1439		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1273959	1275431	+	AAW41102.1			hypothetical protein			CNA04800	1314	437	
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1275715	1279641	-	AAW41103.2			hypothetical protein			CNA04810	3621	1206	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1280166	1282382	+							CNA04830	2217		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1280166	1282382	+			AAW41104.1	NADH kinase, putative			CNA04830	1817		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1280295	1282158	+	AAW41104.1			Ptc1p, putative			CNA04830	1464	487	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1282411	1284543	-							CNA04840	2133		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1282411	1284543	-			AAW41105.2	expressed protein			CNA04840	1970		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1282493	1283868	-	AAW41105.2			hypothetical protein			CNA04840	1284	427	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1284704	1285589	+							CNA04850	886		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1284704	1285589	+			AAW41106.2	hypothetical protein			CNA04850	734		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1284793	1285268	+	AAW41106.2			hypothetical protein			CNA04850	324	107	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1286087	1287522	-							CNA04860	1436		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1286087	1287522	-			AAW41107.1	expressed protein			CNA04860	1319		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1286227	1287435	-	AAW41107.1			expressed protein			CNA04860	1092	363	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1287682	1289488	+							CNA04870	1807		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1287682	1289488	+			AAW41108.1	conserved hypothetical protein			CNA04870	1648		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1287697	1289323	+	AAW41108.1			conserved hypothetical protein			CNA04870	1515	504	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1289490	1292316	+							CNA04880	2827		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1289490	1292316	+			AAW41109.2	expressed protein			CNA04880	2306		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1289760	1292178	+	AAW41109.2			expressed protein			CNA04880	1947	648	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1292099	1294466	-							CNA04890	2368		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1292099	1294466	-			AAW41110.1	hypothetical protein			CNA04890	2317		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1292428	1294404	-	AAW41110.1			hypothetical protein			CNA04890	1977	658	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1294535	1297044	-							CNA04900	2510		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1294535	1297044	-			AAW41111.2	hypothetical protein			CNA04900	2510		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1295348	1295986	-	AAW41111.2			hypothetical protein			CNA04900	639	212	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1299222	1302224	-							CNA04910	3003		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1299222	1302224	-			AAW41112.1	retrograde transport, endosome to Golgi-related protein, putative			CNA04910	2705		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1299437	1302188	-	AAW41112.1			retrograde transport, endosome to Golgi-related protein, putative			CNA04910	2454	817	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1302331	1304052	-							CNA04920	1722		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1302331	1304052	-			AAW41113.1	conserved hypothetical protein			CNA04920	1438		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1302390	1304005	-	AAW41113.1			conserved hypothetical protein			CNA04920	1332	443	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1304233	1304830	+							CNA04930	598		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1304233	1304830	+			AAW41114.1	prefoldin subunit 2, putative			CNA04930	461		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1304255	1304745	+	AAW41114.1			prefoldin subunit 2, putative			CNA04930	354	117	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1305283	1307302	+							CNA04935	2020		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1305283	1307302	+			ALO60338.1	hypothetical protein			CNA04935	1887		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1306175	1306937	+	ALO60338.1			hypothetical protein			CNA04935	630	209	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1307628	1309366	-							CNA04940	1739		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1307628	1309366	-			AAW41115.1	mitochondrial carrier protein, putative			CNA04940	1376		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1307659	1309335	-	AAW41115.1			mitochondrial carrier protein, putative			CNA04940	1314	437	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1309504	1311129	+							CNA04950	1626		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1309504	1311129	+			AAW41116.1	conserved hypothetical protein			CNA04950	1520		
CDS	with_protein	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1309544	1311023	+	AAW41116.1			conserved hypothetical protein			CNA04950	1374	457	
gene	protein_coding	GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1311068	1314073	-							CNA04960	3006		
mRNA		GCA_000091045.1	Primary Assembly	chromosome	1	AE017341.1	1311068	1314073	-			AAW41117.2	hypothetical protein			CNA04960	2826		
